name,address
"Kerala Lalithakala Akademi Art Gallery, Kottakkunnu","Kerala Lalithakala Akademi Art Gallery, Kottakkunnu, Kottakunu Park, Uphill, Malappuram - 676500, Kerala, India"
Sri Narayana Guru swamy statue,"Sri Narayana Guru swamy statue, Ettumanoor - Ernakulam Road, Chakkukulam, South Paravoor - 682320, Kerala, India"
Poopathi Vehicle Pollution Testing Center,"Poopathi Vehicle Pollution Testing Center, Poovattuparamba - Perumanna Road, Peruvayal - 673008, Kerala, India"
Sree Narayana Guru Mandapam,"Sree Narayana Guru Mandapam, ThalayolaParamb - Kanjiramattom - Mulanthuruthi Road, Neerpara - 689605, Kerala, India"
Biggdad view point,"Biggdad view point, ERATTUKULAM ROAD, - 678589, Kerala, India"
Narasimukku view point,"Narasimukku view point, ERATTUKULAM ROAD, - 678589, Kerala, India"
Calicut Planetarium,"Calicut Planetarium, Kuniyil kavu Road, Jawahar Nagar, Kozhikode - 673011, Kerala, India"
T.K.Madhavan Statue,"T.K.Madhavan Statue, Ettumanoor-Ernakulam Highway, Arattukulangara, Vaikom - 686141, Kerala, India"
Niranjan Abhijith And Vyshaks Rooms,"Niranjan Abhijith And Vyshaks Rooms, NSS College Road, Olavakkode - 678008, Kerala, India"
Mayiladi view point,"Mayiladi view point, Calicut-Malappuram-Palakkad Road, Kumaramputhur - 675853, Kerala, India"
Mini Ooty,"Mini Ooty, Panchayath Padi, Pallippadi - 676517, Kerala, India"
Varikkassery Mana,"Varikkassery Mana, Manissery Varikkasseri Mana Road, Manisseri - 679521, Kerala, India"
Varikkassery Mana Building,"Varikkassery Mana Building, Manissery Varikkasseri Mana Road, Manisseri - 679521, Kerala, India"
Varikkassery Mana Main Building,"Varikkassery Mana Main Building, Manissery Varikkasseri Mana Road, Manisseri - 679521, Kerala, India"
Sithargundu View Point 2,"Sithargundu View Point 2, nelliyampathy road, Nelliyampathy -, Kerala, India"
Sithargundu View Point 1,"Sithargundu View Point 1, nelliyampathy road, Nelliyampathy -, Kerala, India"
Venduruthy Bridge,"Venduruthy Bridge, Kochi - 682004, Kerala, India"
attappadi churam,"attappadi churam, Mannarkkad-Aanakkati Road, Attappadi - 678581, Kerala, India"
North Bypass,"North Bypass, Chavakkad - Wadakkanchery Road, Mammiyoor, Chavakkad - 680103, Kerala, India"
View Point River Nila,"View Point River Nila, Kootupatha-Cheruthuruthy Road, Cheruthuruthy - 679123, Kerala, India"
Athirappalli Waterfalls,"Athirappalli Waterfalls, Chalakudy - Anamala Road, Athirappilly -, Kerala, India"
Kerala Lalithakala Academy & Art Gallery,"Kerala Lalithakala Academy & Art Gallery, Sitaram Mill Road, Chembukkavu, Thrissur - 680020, Kerala, India"
Crancanore Fort,"Crancanore Fort, Kottapuram Thuruthipuram Road, Kottapuram, Anappuzha - 680677, Kerala, India"
Public Works Department Guest House,"Public Works Department Guest House, Sha Road, Thachudaparambu - 680307, Kerala, India"
River Diversion Scheme,"River Diversion Scheme, Chalakudy - Anamala Road, Vettilappara - 680724, Kerala, India"
